N;Код ПЛ;Вид ПЛ;ПЛ текущий;Код ПЛ Новый;Вид ПЛ новый;ПЛ новый;Код;Контрагент;Работаем с даты:;Головной контрагент;Система ЭД;Регион;Зона региона;Скидка;Менеджер;Макс РЕГ;Тип контрагента;Отсрочка;Ценообразование на отсрочку;Ценообразование на отсрочку рассч;Коэфф;Сумма2013;ЧН 2013;Сумма2014;ЧН 2014;Сумма2015;ЧН 2015;Сумма2016;ЧН 2016;Сумма2017;ЧН 2017;Вид доставки;Оплачивает ПМ;Возмещение;Перевозчик;Количество контрагентов;Аукцион БП 2013;Аукцион БП 2014;Аукцион БП 2015;Аукцион БП 2016;Аукцион БП 2017;Регион код;Аукцион 2013;Аукцион 2014;Аукцион 2015;Аукцион 2016;Аукцион 2017;БП 2013;БП 2014;БП 2015;БП 2016;БП 2017
300;000115;ГосЛПУ;КЧР_БП;;;;09722;Карачаево-Черкесская республиканская клиническая больница РГБЛПУ;30.03.2016;Карачаево-Черкесская республиканская клиническая больница РГБЛПУ;;Карачаево-Черкесская Респ;;;Зелинская Н.И.;50;ЛПУ;90;7,40;5,92;;;;;;;;101 982,82;8 786,82;;;АВТО;истина ;;ПЭК ООО;1;;;;101 982,82;;000000106;;;;;;;;;101 982,82;
301;000116;ГосЛПУ;Кемерово_БП;;;;09713;ГКБ №3 им. М.А. Подгорбунского МБУЗ  г. Кемерово;09.03.2016;ГКБ №3 им. М.А. Подгорбунского МБУЗ  г. Кемерово;;Кемеровская область;;;Александров А.А.;50;ЛПУ;180;20,00;11,84;;;;;;;;422 591,68;66 301,64;;;АВТО;истина ;;Деловые Линии ООО;1;;;;422 591,68;;000000208;;;;;;;;;422 591,68;
302;000116;ГосЛПУ;Кемерово_БП;;;;07689;Департамент охраны здоровья населения Кемеровской области;11.03.2013;Департамент охраны здоровья населения Кемеровской области;;Кемеровская область;;;Шкатова В.В;50;ЛПУ;180;20,00;11,84;;220 205,22;39 171,38;;;6 534 418,20;918 057,59;1 447 607,04;123 731,38;;;ЖД;истина ;;ЖелдорАльянс ООО (не действующий, не брать!!!);1;220 205,22;;6 534 418,20;1 447 607,04;;000000208;;;;;;220 205,22;;6 534 418,20;1 447 607,04;
303;000116;ГосЛПУ;Кемерово_БП;;;;09556;Прокопьевская психиатрическая больница ГКУЗ Кемеровской области;10.11.2015;Прокопьевская психиатрическая больница ГКУЗ Кемеровской области;;Кемеровская область;;;Шкатова В.В;50;ЛПУ;90;7,40;5,92;;;;;;184 855,87;39 763,05;;;;;ЖД;истина ;;Желдорэкспедиция-ООО;1;;;184 855,87;;;000000208;;;181 765,03;;;;;3 090,84;;
304;000116;ГосЛПУ;Кемерово_БП;;;;09528;Департамент контрактной системы Кемеровской области;;Департамент контрактной системы Кемеровской области;;Кемерово;;;Носова Е.А.;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
305;000117;УО;Кемерово_УО;;;;07104;Кузбассфарммед ГП КО г. Кемерово;01.12.2011;Кузбассфарммед ГП КО г. Кемерово;;Кемеровская область;;;Кузьмиров В.Е.;50;Опт;30;1,80;1,97;;2 941 587,69;438 549,39;4 843 787,15;1 234 417,07;6 151 155,47;1 289 433,76;3 807 898,61;790 650,69;2 100 138,18;251 172,01;ЖД;ложь ;;ЖелдорАльянс Транспортная компания ООО;1;;;;;;000000208;;;;;;;;;;
306;000118;УО;Киров_УО;;;;03498;Аптечный склад КОГУП г.Киров;17.06.2008;Аптечный склад КОГУП г.Киров;;Кировская область;;;Никитина С.Ю.;70;Опт;30;1,80;1,97;;2 325 974,71;350 572,06;1 361 134,58;257 683,15;1 964 503,43;315 192,50;121 892,90;19 281,40;;;ЖД;ложь ;;Деловые Линии ООО;1;389 057,05;;;1 180,90;;000000236;;;;;;389 057,05;;;1 180,90;
307;000119;УО;Кострома_УО;;;;03621;Костромская областная аптечная база ГУП г.Кострома;01.01.2008;Костромская областная аптечная база ГУП г.Кострома;;Костромская область;;;Никитина С.Ю.;50;Опт;45;2,70;2,96;;1 284 854,04;297 517,86;2 320 926,65;424 813,95;1 890 555,75;281 991,91;835 920,30;113 641,30;1 406 308,95;282 382,26;Самовывоз;ложь ;;* САМОВЫВОЗ *;1;;;;;;000000187;;;;;;;;;;
308;000120;УО;Краснодар_УО;;;;03626;Кубаньфармация ГУПКК г. Краснодар;08.05.2013;Кубаньфармация ГУПКК г. Краснодар;;Краснодарский край;;;Кручинкина А.И.;100;Опт;;;;;3 214 312,39;251 538,47;613 056,55;42 438,35;1 419 931,82;633 928,82;2 061 495,96;194 211,36;462 462,73;44 907,73;АВТО;истина ;;ПЭК ООО;1;1 651 574,22;613 056,55;1 090 182,73;;;000000024;1 651 574,22;613 056,55;1 090 182,73;;;;;;;
309;000121;Опт + Розница;Краснодар_14_5%;;;;09669;Армавирская межрайонная аптечная база ООО г. Армавир;26.01.2016;Армавирская межрайонная аптечная база ООО г. Армавир;;Краснодарский край;;0,050;Никитина С.Ю.;100;Опт;14;0,80;0,92;;;;;;;;5 973 245,48;550 250,24;9 857 794,21;1 181 476,05;АВТО;ложь ;;;1;;;;;;000000024;;;;;;;;;;
310;000121;Опт + Розница;Краснодар_14_5%;;;;01880;Армавирская межрайонная аптечная база ОАО г. Армавир;08.02.2007;Армавирская межрайонная аптечная база ОАО г. Армавир;;Краснодарский край;;0,100;Никитина С.Ю.;50;Опт;14;0,80;0,92;;15 018 033,10;2 074 595,33;12 149 406,11;1 927 490,01;8 335 333,31;1 255 324,54;229 028,54;35 613,54;;;АВТО;ложь ;;Армавирская аптечная база;1;;;;;;000000024;;;;;;;;;;
311;000122;Опт + Розница;Курган_60;;;;04067;Курганфармация ОАО г. Курган;01.01.2008;Курганфармация ОАО г. Курган;;Курганская область;;;Кузьмиров В.Е.;60;Опт;60;3,60;3,95;;1 615 901,59;215 194,96;1 118 351,16;202 862,75;410 909,08;60 855,75;;;216 947,99;24 843,18;ЖД;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;;;;;;000000442;;;;;;;;;;
312;000123;УО;Курск_УО;;;;08351;"Курский областной медицинский центр моб. резервов ""Резерв"" г. Курск";26.08.2013;"Курский областной медицинский центр моб. резервов ""Резерв"" г. Курск";;Курская область;;;Царапкина А.Ю.;100;Опт;30;1,80;1,97;;387 288,60;29 229,76;560 878,49;154 156,49;267 124,58;54 974,45;261 924,49;34 072,94;358 090,91;43 330,91;АВТО;ложь ;;"СпецсвязьФГУП ""ГЦСС""";1;;;;136 181,82;;000000289;;;;136 181,82;;;;;;
313;000124;ГосЛПУ;ЛенОбл_БП;;;;08612;Киришская межрайонная больница ГБУЗ Ленинградской обл;26.12.2013;Киришская межрайонная больница ГБУЗ Ленинградской обл;;Ленинградская область;;;Носова Е.А.;50;ЛПУ;45;2,70;2,96;;;;618 473,52;4 352,60;;;;;;;ЖД;истина ;;Желдорэкспедиция-ООО;1;;618 473,52;;;;000000411;;;;;;;618 473,52;;;
314;000124;ГосЛПУ;ЛенОбл_БП;;;;09354;Санкт-Петербургская ПБСТИН ФКУ;01.07.2015;Санкт-Петербургская ПБСТИН ФКУ;;Ленинградская область;;;Александров А.А.;50;ЛПУ;;;;;;;;;1 045 176,37;125 385,13;;;;;АВТО;истина ;;Деловые Линии ООО;1;;;1 045 176,37;;;000000411;;;;;;;;1 045 176,37;;
315;000124;ГосЛПУ;ЛенОбл_БП;;;;09358;Волховский ПНИ  ЛОГКУ;30.06.2015;Волховский ПНИ  ЛОГКУ;;Ленинградская область;;;Шкатова В.В;;ЛПУ;30;1,80;1,97;;;;;;401 078,38;50 864,41;;;180 795,27;23 207,42;АВТО;истина ;;Деловые Линии ООО;1;;;401 078,38;;180 795,27;000000411;;;;;;;;401 078,38;;180 795,27
316;000124;ГосЛПУ;ЛенОбл_БП;;;;09290;Гатчинский ПНИ ЛОГСБУСО;08.05.2015;Гатчинский ПНИ ЛОГСБУСО;;Ленинградская область;;;Александров А.А.;50;ЛПУ;45;2,70;2,96;;;;;;904 317,49;251 479,49;;;30 902,27;8 509,68;АВТО;истина ;;;1;;;904 317,49;;30 902,27;000000411;;;;;;;;904 317,49;;30 902,27
317;000124;ГосЛПУ;ЛенОбл_БП;;;;08516;ПБ Святого Николая Чудотворца ГКУЗ СПб;17.11.2015;ПБ Святого Николая Чудотворца ГКУЗ СПб;;Ленинградская область;;10,000;Александров А.А.;50;ЛПУ;30;1,80;1,97;;;;;;429 545,82;100 183,42;;;1 654 328,07;312 334,41;АВТО;истина ;;ПЭК ООО;1;;;429 545,82;;1 654 328,07;000000411;;;;;;;;429 545,82;;1 654 328,07
318;000124;ГосЛПУ;ЛенОбл_БП;;;;09158;Кировский ПНИ, ЛОГКУ;11.03.2015;Кировский ПНИ, ЛОГКУ;;Ленинградская область;;;Зелинская Н.И.;100;ЛПУ;90;7,40;5,92;;;;;;343 977,27;23 492,27;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;;;343 977,27;;;000000411;;;;;;;;343 977,27;;
319;000124;ГосЛПУ;ЛенОбл_БП;;;;09229;Свирская психиатрическая больница ЛОГКУЗ;02.04.2015;Свирская психиатрическая больница ЛОГКУЗ;;Ленинградская область;;;Шкатова В.В;50;ЛПУ;45;2,70;2,96;;;;;;1 361 046,24;281 524,31;;;;;АВТО;истина ;;Деловые Линии ООО;1;;;1 361 046,24;;;000000411;;;;;;;;1 361 046,24;;
320;000124;ГосЛПУ;ЛенОбл_БП;;;;09721;ПНИ №4 Санкт-Петербургское ГБСУ СО;21.03.2016;ПНИ №4 Санкт-Петербургское ГБСУ СО;;Ленинградская область;;;Зелинская Н.И.;50;ЛПУ;30;1,80;1,97;;;;;;;;318 100,72;39 747,95;644 307,99;-15 097,15;АВТО;истина ;;ПЭК ООО;1;;;;318 100,72;644 307,99;000000411;;;;;;;;;318 100,72;644 307,99
321;000124;ГосЛПУ;ЛенОбл_БП;;;;09281;442 ВКГ Минобороны России ФГКУ Санкт - Петербург;29.04.2015;442 ВКГ Минобороны России ФГКУ Санкт - Петербург;;Ленинградская область;;;Шкатова В.В;50;ЛПУ;45;2,70;2,96;;;;;;518 467,75;94 790,64;;;;;АВТО;истина ;;Деловые Линии ООО;1;;;518 467,75;;;000000411;;;;;;;;518 467,75;;
322;000124;ГосЛПУ;ЛенОбл_БП;;;;08987;Гатчинская КМБ ГБУЗ ЛО;12.11.2014;Гатчинская КМБ ГБУЗ ЛО;;Ленинградская область;;;Александров А.А.;100;ЛПУ;120;13,00;7,89;;;;;;259 955,75;-31 939,87;;;;;АВТО;истина ;;Деловые Линии ООО;1;;;259 955,75;;;000000411;;;;;;;;259 955,75;;
323;000125;УО;Липецк_УО;;;;03640;Липецкфармация ОГУП г.Липецк;11.01.2009;Липецкфармация ОГУП г.Липецк;;Липецкая область;;;Никитина С.Ю.;70;Опт;60;3,60;3,95;;2 725 925,48;503 322,70;2 530 658,13;476 689,87;1 687 120,37;431 492,57;1 105 040,67;236 694,81;666 159,27;97 129,97;АВТО;истина ;;Деловые Линии ООО;1;;;;;1 966,96;000000262;;;;;1 966,96;;;;;
324;000126;Аптечные сети;Магадан_30;;;;07476;Аптека №77 ООО г.Магадан;27.08.2012;Аптека №77 ООО г.Магадан;;Магаданская область;;;Кузьмиров В.Е.;100;Аптека;60;3,60;3,95;;2 108 216,92;218 046,08;2 088 218,72;265 671,71;1 812 311,32;258 883,81;1 623 881,73;238 597,67;418 662,01;43 494,10;АВИА;истина ;;КАРГО ЮНИТ ООО (не действующий, не брать!!!);1;;;;;;000000125;;;;;;;;;;
325;000127;ГосЛПУ;Мурманск_БП;;;;09190;1469 Военно-морской клинический госпиталь Министерства обороны РФ, г. Североморск, ФГКУ;24.03.2015;1469 Военно-морской клинический госпиталь Министерства обороны РФ, г. Североморск, ФГКУ;;Мурманская область;;;Шкатова В.В;100;ЛПУ;30;1,80;1,97;;;;;;1 572 171,25;220 358,97;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;;;1 572 171,25;;;000000027;;;;;;;;1 572 171,25;;
326;000127;ГосЛПУ;Мурманск_БП;;;;09002;Кандалакшская ЦРБ ГОБУЗ;24.11.2014;Кандалакшская ЦРБ ГОБУЗ;;Мурманская область;;;Носова Е.А.;50;ЛПУ;40;2,40;2,63;;;;;;359 599,06;23 359,48;;;;;ЖД;истина ;;Желдорэкспедиция-ООО;1;;;359 599,06;;;000000027;;;;;;;;359 599,06;;
327;000127;ГосЛПУ;Мурманск_БП;;;;09654;ЦМСЧ № 120 ФГБУЗ ФМБА России;25.01.2016;ЦМСЧ № 120 ФГБУЗ ФМБА России;;Мурманская область;;;Зелинская Н.И.;50;ЛПУ;14;0,80;0,92;;;;;;;;123 611,45;11 158,45;;;ЖД;истина ;;Желдорэкспедиция-ООО;1;;;;123 611,45;;000000027;;;;;;;;;123 611,45;
328;000128;Опт + Розница;Ненецкий_30;;;;03707;Ненецкая фармация ГУП НАО г. Нарьян-Мар;04.01.2008;Ненецкая фармация ГУП НАО г. Нарьян-Мар;;Ненецкий АО;;;Кручинкина А.И.;90;Опт;30;1,80;1,97;;883 382,99;94 363,37;367 167,14;41 028,39;339 290,73;47 784,34;444 012,29;64 284,64;173 221,91;14 449,40;АВИА;истина ;50;Компания КАРГО ЮНИТ ООО;1;;;;;;000000224;;;;;;;;;;
329;000130;ГосЛПУ;Новгород_БП;;;;09496;Департамент здравоохранения Новгородской области;30.09.2015;Департамент здравоохранения Новгородской области;;Новгородская область;;;Шкатова В.В;50;ЛПУ;30;1,80;1,97;;;;;;236 301,27;28 519,80;;;;;АВТО;истина ;;Деловые Линии ООО;1;;;236 301,27;;;000000429;;;;;;;;236 301,27;;
